Sexo,Año de nacimiento,Lugar de residencia (Código Postal),¿Dónde has visto publicidad relacionada con apuestas?,¿Hay alguna casa de apuestas en tu camino habitual?,¿Conoces algún lugar donde apostar en tu pueblo?,¿Cuántos días apuestas a la semana físicamente?,¿Qué app utilizas para apostar de forma online?,¿Cuántos días a la semana apuestas online?,¿Has apostado alguna vez?,¿A qué apuestas,ya sea online o físicamente?,¿Hasta ahora,consideras que has ganado o perdido dinero apostando?,¿Cómo ha influido la pandemia sobre tus hábitos de apostar?,,¿Cuánto dinero tienes pensado apostar la próxima semana?
Hombre,2002,31200,"En Internet,",Sí,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",1,"Codere,888 Sport,",0,Sí,"Fútbol,",Prácticamente me he quedado igual (+- 3),He empezado a apostar,0,,,
Hombre,2002,31004,"Por las calles,En Internet,En la televisión,En la radio,En equipajes deportivos,",Sí,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,Sí, otra,",0,"No apuesto de forma online,",0,No,"Otros Juegos,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0
Hombre,2002,31200,"En Internet,Por las calles,En equipajes deportivos,",Sí,"Sí, en un bar con máquina de apuestas,",0,"No apuesto de forma online,",0,Sí,"Fútbol,",He perdido,Sigo sin apostar,al igual que antes,0,,
Hombre,2002,2006,"En equipajes deportivos,En la radio,En la televisión,En Internet,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",0,"No apuesto de forma online,",0,Sí,"Fútbol,",He perdido,Sigo sin apostar,al igual que antes,0,,
Hombre,2002,46780,"En la televisión,",Sí,"Sí, en un bar con máquina de apuestas,",7,"Bet365,",7,Sí,"Fútbol,Básket,Tenis,Tenis Mesa,Snooker,Dardos,",He perdido,Ahora apuesto más que antes,0,,,
Hombre,2002,46780,"Por las calles,En Internet,En la televisión,En la radio,En equipajes deportivos,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",2,"Bet365,Codere,",6,Sí,"Fútbol,Básket,Tenis,",He perdido,Ahora apuesto más que antes,10,,,
Hombre,2002,37008,"En la televisión,En Internet,Por las calles,En equipajes deportivos,En la radio,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",1,"No apuesto de forma online,",0,Sí,"Fútbol,",He perdido,He empezado a apostar,0,,,
Hombre,2002,31200,"En Internet,En la televisión,",Sí,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",0,"No apuesto de forma online,",0,No,"Fútbol,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0
Hombre,2002,47861,"En equipajes deportivos,Por las calles,En Internet,En la televisión,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",3,"William Hill,BetFair,",1,Sí,"Fútbol,",He ganado,Ahora apuesto más que antes,2,,,
Hombre,2002,31200,"En la televisión,En Internet,En la radio,",Sí,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",1,"Codere,",0,Sí,"Fútbol,",Prácticamente me he quedado igual (+- 3),He dejado de apostar,2,,,
Hombre,2002,31200,"En Internet,Por las calles,En la televisión,En equipajes deportivos,",Sí,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",0,"No apuesto de forma online,",0,No,"Otros Juegos,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0
Hombre,2002,46780,"En equipajes deportivos,En la radio,En la televisión,En Internet,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",2,"Bet365,",0,Sí,"Fútbol,",He ganado,Ahora apuesto más que antes,5,,,
Hombre,2002,40006,"En Internet,En la televisión,En equipajes deportivos,",No,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",2,"No apuesto de forma online,",0,Sí,"Fútbol,",He ganado,Ahora apuesto más que antes,0,,,
Hombre,2002,46007,"Por las calles,En Internet,En la televisión,En equipajes deportivos,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",0,"No apuesto de forma online,",0,No,"Otros Juegos,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0
Hombre,2002,46780,"En la televisión,En equipajes deportivos,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",0,"No apuesto de forma online,",0,No,"Otros Juegos,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0
Mujer,2002,31200,"En Internet,En la televisión,En equipajes deportivos,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",3,"No apuesto de forma online,",0,Sí,"Fútbol,",He ganado,He empezado a apostar,0,,,
Hombre,2002,31200,"En Internet,En la televisión,En equipajes deportivos,",Sí,"No,",1,"No apuesto de forma online,",0,Sí,"Ruleta,",Prácticamente me he quedado igual (+- 3),Ahora apuesto menos que antes,2,,,
Hombre,2002,31200,"Nunca he visto publicidad sobre este tema,",Sí,"Sí, en un bar con máquina de apuestas,",0,"No apuesto de forma online,",0,Sí,"Fútbol,Tenis,",He ganado,Ahora apuesto menos que antes,0,,,
Hombre,2002,46780,"Por las calles,En Internet,En la televisión,En la radio,En equipajes deportivos,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",1,"Bet365,Codere,Bwin,William Hill,",3,Sí,"Fútbol,Básket,Tenis,",Prácticamente me he quedado igual (+- 3),Ahora apuesto menos que antes,2,,,
Otro,2002,31200,"En la televisión,En Internet,En la radio,En equipajes deportivos,",Sí,"Sí, en una casa de apuestas,Sí, en un bar con máquina de apuestas,",0,"No apuesto de forma online,",0,No,"Pocker,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0
Mujer,2002,46015,"En la televisión,En Internet,En equipajes deportivos,",No,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",0,"No apuesto de forma online,",0,Sí,"No apuesto,",He ganado,Sigo sin apostar,al igual que antes,0,,
Hombre,2002,46780,"Nunca he visto publicidad sobre este tema,En Internet,En la radio,",No,"No,Sí, en una casa de apuestas,",4,"No apuesto de forma online,William Hill,Sportium,",4,No,"No apuesto,Tenis,Otras competiciones deportivas,Otros Juegos,",He perdido,Ahora apuesto menos que antes,45,,,
Hombre,2002,46780,"Nunca he visto publicidad sobre este tema,En Internet,En la radio,",No,"No,Sí, en una casa de apuestas,",4,"No apuesto de forma online,Bwin,BetFair,",1,No,"No apuesto,Tenis Mesa,Pocker,",No apuesto,así que nada,He dejado de apostar,5,,
Hombre,1968,46780,"En la televisión,",Sí,"Sí, en un bar con máquina de apuestas,Sí, en una casa de apuestas,",0,"No apuesto de forma online,",0,No,"No apuesto,",No apuesto,así que nada,Sigo sin apostar,al igual que antes,,0